LAD24CD,LAD24NM,Falls within,TotalCrime,TotalPopulation,RatePer1000
E06000057,Northumberland,Northumbria Police,90393,55400538.0,1.6316267542383793
E07000207,Elmbridge,Surrey Police,25375,22140063.0,1.146112366527593
E07000208,Epsom and Ewell,Surrey Police,18860,14070555.0,1.34038778143435
E07000209,Guildford,Surrey Police,37516,25668316.0,1.4615684176554473
E07000210,Mole Valley,Surrey Police,16802,13174899.0,1.2753038941702703
E07000211,Reigate and Banstead,Surrey Police,32777,25088509.0,1.3064546801087302
E07000212,Runnymede,Surrey Police,22273,17099908.0,1.302521627601739
E07000213,Spelthorne,Surrey Police,28524,20173294.0,1.4139485599129227
E07000214,Surrey Heath,Surrey Police,17276,13841789.0,1.248104562206518
E07000215,Tandridge,Surrey Police,17495,14968468.0,1.1687902863539543
E07000216,Waverley,Surrey Police,18302,16594635.0,1.1028865654472062
E07000217,Woking,Surrey Police,23058,17233002.0,1.3380141196525133
E08000021,Newcastle upon Tyne,Northumbria Police,132868,70413838.0,1.8869586401468417
E08000022,North Tyneside,Northumbria Police,65182,39166289.0,1.6642373240926656
E08000023,South Tyneside,Northumbria Police,55001,28044794.0,1.9611839544979364
E08000024,Sunderland,Northumbria Police,99850,56357178.0,1.771735270350123
E08000025,Birmingham,West Midlands Police,449676,263788810.0,1.7046818627370888
E08000026,Coventry,West Midlands Police,115213,75991967.0,1.516120776292052
E08000027,Dudley,West Midlands Police,83289,55321941.0,1.5055328590151962
E08000028,Sandwell,West Midlands Police,112857,75102836.0,1.502699578481963
E08000029,Solihull,West Midlands Police,57922,36776175.0,1.5749870670345678
E08000030,Walsall,West Midlands Police,93798,57961192.0,1.6182896997701495
E08000031,Wolverhampton,West Midlands Police,91271,55337279.0,1.6493582924451347
E08000037,Gateshead,Northumbria Police,66676,39597154.0,1.6838583904287667
E09000002,Barking and Dagenham,Metropolitan Police Service,72177,53174617.0,1.3573581545495663
E09000003,Barnet,Metropolitan Police Service,108450,82346591.0,1.3169944096410742
E09000004,Bexley,Metropolitan Police Service,59167,44562070.0,1.3277435271745681
E09000005,Brent,Metropolitan Police Service,126911,85096966.0,1.4913692692639595
E09000006,Bromley,Metropolitan Police Service,86686,60860796.0,1.4243323403131303
E09000007,Camden,Metropolitan Police Service,146484,58907942.0,2.4866596086483552
E09000008,Croydon,Metropolitan Police Service,127332,85383019.0,1.4913035576781375
E09000009,Ealing,Metropolitan Police Service,126709,85055830.0,1.4897156373643055
E09000010,Enfield,Metropolitan Police Service,110315,72744843.0,1.5164648853527665
E09000011,Greenwich,Metropolitan Police Service,100703,67926864.0,1.4825209654901779
E09000012,Hackney,Metropolitan Police Service,118488,71500555.0,1.6571619618896665
E09000013,Hammersmith and Fulham,Metropolitan Police Service,79636,43679653.0,1.823182981787882
E09000014,Haringey,Metropolitan Police Service,106782,65245480.0,1.6366191190562167
E09000015,Harrow,Metropolitan Police Service,63402,50433880.0,1.2571311190017505
E09000016,Havering,Metropolitan Police Service,73604,52488700.0,1.402282777054871
E09000017,Hillingdon,Metropolitan Police Service,113868,70465713.0,1.6159348306033603
E09000018,Hounslow,Metropolitan Police Service,99582,69689341.0,1.4289416225072353
E09000019,Islington,Metropolitan Police Service,118066,61338478.0,1.9248276750525177
E09000020,Kensington and Chelsea,Metropolitan Police Service,79671,37651774.0,2.115995915624055
E09000021,Kingston upon Thames,Metropolitan Police Service,43936,29597674.0,1.4844409733008075
E09000022,Lambeth,Metropolitan Police Service,139669,78266895.0,1.7845220511175255
E09000023,Lewisham,Metropolitan Police Service,107652,69700179.0,1.5445010550116378
E09000024,Merton,Metropolitan Police Service,51163,40350314.0,1.2679703062533787
E09000025,Newham,Metropolitan Police Service,147925,92977208.0,1.5909813080212087
E09000026,Redbridge,Metropolitan Police Service,88848,66051793.0,1.345126240554893
E09000027,Richmond upon Thames,Metropolitan Police Service,44052,35591981.0,1.2376945245053934
E09000028,Southwark,Metropolitan Police Service,142273,83298256.0,1.707994942895323
E09000029,Sutton,Metropolitan Police Service,47747,36745651.0,1.2993918654482404
E09000030,Tower Hamlets,Metropolitan Police Service,139294,89043490.0,1.5643367078267036
E09000031,Waltham Forest,Metropolitan Police Service,91882,65921182.0,1.3938160271458726
E09000032,Wandsworth,Metropolitan Police Service,99322,71318022.0,1.3926634140245784
E09000033,Westminster,Metropolitan Police Service,292593,61269813.0,4.775483809620898
